Count,date,avgTmax,avgTmin,totPrecip
0.0,2013-08-11,75.0,79.0,0.0
0.0,2013-08-18,75.0,79.0,0.0
0.0,2013-08-25,75.0,79.0,0.0
0.0,2013-09-01,75.0,79.0,0.0
0.0,2013-09-08,75.0,79.0,0.0
0.0,2013-09-15,75.0,76.0,0.0
0.0,2013-09-22,75.0,68.42857142857143,0.0
0.0,2013-09-29,75.0,66.0,0.0
0.0,2013-10-06,75.0,62.42857142857143,0.0
0.0,2013-10-13,77.14285714285714,53.0,0.0
0.0,2013-10-20,80.0,70.85714285714286,0.0
0.0,2013-10-27,80.0,74.0,0.0
1.0,2013-11-03,80.0,52.0,0.0
0.0,2013-11-10,76.0,44.285714285714285,0.0
0.0,2013-11-17,49.285714285714285,16.428571428571427,0.0
0.0,2013-11-24,43.857142857142854,25.571428571428573,0.0
0.0,2013-12-01,48.857142857142854,19.571428571428573,0.0
0.0,2013-12-08,41.142857142857146,6.142857142857143,1.0
0.0,2013-12-15,45.0,9.428571428571429,0.0
0.0,2013-12-22,64.0,17.142857142857142,0.0
0.0,2013-12-29,60.142857142857146,32.57142857142857,0.0
1.0,2014-01-05,63.714285714285715,27.714285714285715,0.0
1.0,2014-01-12,55.714285714285715,31.571428571428573,0.0
3.0,2014-01-19,57.142857142857146,16.0,0.0
2.0,2014-01-26,39.142857142857146,28.428571428571427,0.0
8.0,2014-02-02,43.57142857142857,15.571428571428571,0.0
4.0,2014-02-09,61.142857142857146,14.0,0.0
9.0,2014-02-16,64.14285714285714,16.571428571428573,0.0
2.0,2014-02-23,68.57142857142857,21.0,0.0
3.0,2014-03-02,66.0,17.142857142857142,1.0
4.0,2014-03-09,72.0,14.285714285714286,2.0
0.0,2014-03-16,74.57142857142857,62.0,0.0
1.0,2014-03-23,79.42857142857143,45.142857142857146,0.0
3.0,2014-03-30,70.0,32.857142857142854,0.0
1.0,2014-04-06,70.0,74.85714285714286,0.0
2.0,2014-04-13,70.0,51.42857142857143,0.0
1.0,2014-04-20,70.0,32.0,0.0
0.0,2014-04-27,70.0,68.28571428571429,0.0
0.0,2014-05-04,70.0,67.28571428571429,0.0
